model,repeat,r2,mae,rmse
ANN,13,0.604355394367057,12.97949849213916,17.54385335650163
Cubist,13,0.824460574635362,6.953313698146127,11.685833665745394
RF,13,0.8003263041496973,7.900713887231159,12.463292640253597
XGB,13,0.850960135736686,6.0314416657306635,10.767715873440766
HistGB,13,0.8830435921755367,5.689486207416534,9.538594236320632
LR,14,0.3489050430357493,17.874068713810125,22.548861581297942
KNN,14,0.7432018119656907,8.502110308755185,14.161147045141693
ANN,14,0.47600196097501823,15.076273936392692,20.228667956835295
Cubist,14,0.7790337890228675,8.484455035977785,13.136068038401913
RF,14,0.7542289712336812,9.294613488989661,13.853764429016652
XGB,14,0.8383510673778307,6.733942891565273,11.235408714279098
HistGB,14,0.8563584309335426,6.488485458371366,10.591135519725649
LR,15,0.39381128078037686,16.364153525130842,20.8285814847903
KNN,15,0.5872163407084565,9.29131120810803,17.18767040368108
ANN,15,0.481999410944577,14.137864711912655,19.253996803190244
Cubist,15,0.7528614566511461,8.057651272641523,13.299215086315245
RF,15,0.7274727881561405,8.93259266751497,13.965635572182585
XGB,15,0.7807312645638533,6.987479124196584,12.526914825951188
HistGB,15,0.792981940392651,6.920584396363051,12.17194231144946
LR,16,0.43237606324801914,16.901951123129212,21.03641200464782
KNN,16,0.8471788231054896,6.212947952558482,10.915234923674689
ANN,16,0.5721252534059578,13.90833945378447,18.264157549099576
Cubist,16,0.8313315622249287,7.612316652264318,11.467222217063796
RF,16,0.807036723656552,8.234706644705312,12.265313396579357
XGB,16,0.8786265209473205,5.194680400658292,9.727544308845513
HistGB,16,0.8920186513358686,5.425205796592779,9.175203196240984
LR,17,0.4772793459611938,17.023175767582703,20.9521193000591
KNN,17,0.8100294418982714,7.0076757134878775,12.630957600675593
ANN,17,0.5781558206982623,14.339300745518152,18.82214689554717
Cubist,17,0.8148692044785616,8.164473061251993,12.469024023444225
RF,17,0.8193172458810225,8.737521117713344,12.318319917770795
XGB,17,0.8741638422392946,6.189016957026016,10.280064809126756
HistGB,17,0.8853293938183537,6.058272471685641,9.813392788621837
LR,18,0.4500443893780022,17.031033352969775,20.836837155799987
KNN,18,0.6833739325240963,8.372281357459434,15.810343753506835
ANN,18,0.5334673106962461,14.345181651350837,19.191504354817898
Cubist,18,0.7583863131627895,8.630110208906556,13.811115121338847
RF,18,0.7563865849728207,9.018862974660102,13.868151553004013
XGB,18,0.8091463998815864,7.051538524479723,12.274905501689528
HistGB,18,0.825616510491834,6.907292933228279,11.733313132560426
LR,19,0.38987103420265024,17.534661948066198,21.828372497217202
KNN,19,0.777275273974109,7.166499449533887,13.18848018712962
ANN,19,0.4784940594483872,15.076283911162786,20.180882997420607
Cubist,19,0.7832382543189971,8.295969682340543,13.010735694354427
RF,19,0.755417944607083,8.955799607018324,13.82047054603046
XGB,19,0.8220073407110923,6.652787052595146,11.789939604749177
HistGB,19,0.8356223517979882,6.756395964703382,11.33005233266654
