study,model,n_rows,mae,rmse,r2
Hatem Kh. MOHAMED_2031,Cubist,1,0.4977874755859375,0.4977874755859375,
Hatem Kh. MOHAMED_2031,RF,1,5.587807846638512,5.587807846638512,
Hatem Kh. MOHAMED_2031,XGB,1,2.2891464233398438,2.2891464233398438,
Hatem Kh. MOHAMED_2031,HistGB,1,0.44312591912307653,0.44312591912307653,
Hatem Kh. MOHAMED_2032,LR,1,28.13818276536192,28.13818276536192,
Hatem Kh. MOHAMED_2032,KNN,1,2.0,2.0,
Hatem Kh. MOHAMED_2032,ANN,1,6.377290614508972,6.377290614508972,
Hatem Kh. MOHAMED_2032,Cubist,1,0.45867156982421875,0.45867156982421875,
Hatem Kh. MOHAMED_2032,RF,1,4.333824567586255,4.333824567586255,
Hatem Kh. MOHAMED_2032,XGB,1,3.2059097290039062,3.2059097290039062,
Hatem Kh. MOHAMED_2032,HistGB,1,1.2858688536080507,1.2858688536080507,
Hatem Kh. MOHAMED_2033,LR,1,24.36411411527125,24.36411411527125,
Hatem Kh. MOHAMED_2033,KNN,1,4.0,4.0,
Hatem Kh. MOHAMED_2033,ANN,1,5.203831439870612,5.203831439870612,
Hatem Kh. MOHAMED_2033,Cubist,1,0.4999961853027344,0.4999961853027344,
Hatem Kh. MOHAMED_2033,RF,1,0.5292860197921314,0.5292860197921314,
Hatem Kh. MOHAMED_2033,XGB,1,4.621974945068359,4.621974945068359,
Hatem Kh. MOHAMED_2033,HistGB,1,3.7107680021589644,3.7107680021589644,
Hatem Kh. MOHAMED_2034,LR,1,19.560105068845147,19.560105068845147,
Hatem Kh. MOHAMED_2034,KNN,1,5.0,5.0,
Hatem Kh. MOHAMED_2034,ANN,1,1.6883663388531645,1.6883663388531645,
Hatem Kh. MOHAMED_2034,Cubist,1,4.3876495361328125,4.3876495361328125,
Hatem Kh. MOHAMED_2034,RF,1,0.6938871657280643,0.6938871657280643,
Hatem Kh. MOHAMED_2034,XGB,1,7.624031066894531,7.624031066894531,
Hatem Kh. MOHAMED_2034,HistGB,1,8.236948975755347,8.236948975755347,
Hatem Kh. MOHAMED_2035,LR,1,2.4274488129697573,2.4274488129697573,
Hatem Kh. MOHAMED_2035,KNN,1,15.999999999999993,15.999999999999993,
Hatem Kh. MOHAMED_2035,ANN,1,1.9427918274488292,1.9427918274488292,
Hatem Kh. MOHAMED_2035,Cubist,1,10.723060607910156,10.723060607910156,
Hatem Kh. MOHAMED_2035,RF,1,20.847215160500454,20.847215160500454,
Hatem Kh. MOHAMED_2035,XGB,1,13.061351776123047,13.061351776123047,
Hatem Kh. MOHAMED_2035,HistGB,1,7.126699669200214,7.126699669200214,
Hatem Kh. MOHAMED_2036,LR,1,18.142982871348146,18.142982871348146,
Hatem Kh. MOHAMED_2036,KNN,1,15.999999999999993,15.999999999999993,
Hatem Kh. MOHAMED_2036,ANN,1,6.616154000781215,6.616154000781215,
Hatem Kh. MOHAMED_2036,Cubist,1,3.6138648986816477,3.6138648986816477,
Hatem Kh. MOHAMED_2036,RF,1,1.2611638220074752,1.2611638220074752,
Hatem Kh. MOHAMED_2036,XGB,1,3.1921653747558523,3.1921653747558523,
Hatem Kh. MOHAMED_2036,HistGB,1,0.02623902664281985,0.02623902664281985,
Hatem Kh. MOHAMED_2037,LR,1,33.87123065389683,33.87123065389683,
Hatem Kh. MOHAMED_2037,KNN,1,16.000000000000007,16.000000000000007,
Hatem Kh. MOHAMED_2037,ANN,1,5.735455100787334,5.735455100787334,
Hatem Kh. MOHAMED_2037,Cubist,1,10.005962371826172,10.005962371826172,
Hatem Kh. MOHAMED_2037,RF,1,11.611358481002476,11.611358481002476,
Hatem Kh. MOHAMED_2037,XGB,1,2.9278411865234375,2.9278411865234375,
Hatem Kh. MOHAMED_2037,HistGB,1,3.0117003846472983,3.0117003846472983,
Hatem Kh. MOHAMED_2038,LR,1,27.620773631509017,27.620773631509017,
Hatem Kh. MOHAMED_2038,KNN,1,7.0,7.0,
Hatem Kh. MOHAMED_2038,ANN,1,7.970443321811551,7.970443321811551,
Hatem Kh. MOHAMED_2038,Cubist,1,0.358367919921875,0.358367919921875,
Hatem Kh. MOHAMED_2038,RF,1,1.8092285175285525,1.8092285175285525,
Hatem Kh. MOHAMED_2038,XGB,1,6.625724792480469,6.625724792480469,
Hatem Kh. MOHAMED_2038,HistGB,1,6.5542831458274975,6.5542831458274975,
Hatem Kh. MOHAMED_2039,LR,1,22.269624371527087,22.269624371527087,
Hatem Kh. MOHAMED_2039,KNN,1,14.0,14.0,
Hatem Kh. MOHAMED_2039,ANN,1,11.352865116365585,11.352865116365585,
Hatem Kh. MOHAMED_2039,Cubist,1,1.8967819213867188,1.8967819213867188,
Hatem Kh. MOHAMED_2039,RF,1,5.222947429242339,5.222947429242339,
Hatem Kh. MOHAMED_2039,XGB,1,2.7838973999023438,2.7838973999023438,
Hatem Kh. MOHAMED_2039,HistGB,1,6.961646900044272,6.961646900044272,
Hatem Kh. MOHAMED_2040,LR,1,34.75387762601494,34.75387762601494,
Hatem Kh. MOHAMED_2040,KNN,1,6.0,6.0,
Hatem Kh. MOHAMED_2040,ANN,1,51.34726018710088,51.34726018710088,
Hatem Kh. MOHAMED_2040,Cubist,1,18.14728546142578,18.14728546142578,
Hatem Kh. MOHAMED_2040,RF,1,18.041543490357956,18.041543490357956,
Hatem Kh. MOHAMED_2040,XGB,1,13.018274307250977,13.018274307250977,
Hatem Kh. MOHAMED_2040,HistGB,1,5.590862607482727,5.590862607482727,
Hatem Kh. MOHAMED_2041,LR,1,28.609702081412962,28.609702081412962,
Hatem Kh. MOHAMED_2041,KNN,1,6.0,6.0,
Hatem Kh. MOHAMED_2041,ANN,1,44.927049008526915,44.927049008526915,
Hatem Kh. MOHAMED_2041,Cubist,1,15.353036880493164,15.353036880493164,
Hatem Kh. MOHAMED_2041,RF,1,7.603835306910771,7.603835306910771,
Hatem Kh. MOHAMED_2041,XGB,1,8.63048505783081,8.63048505783081,
Hatem Kh. MOHAMED_2041,HistGB,1,3.63771384797551,3.63771384797551,
Hatem Kh. MOHAMED_2042,LR,1,20.420450344970334,20.420450344970334,
Hatem Kh. MOHAMED_2042,KNN,1,8.0,8.0,
Hatem Kh. MOHAMED_2042,ANN,1,38.4809086287273,38.4809086287273,
Hatem Kh. MOHAMED_2042,Cubist,1,13.625595092773438,13.625595092773438,
Hatem Kh. MOHAMED_2042,RF,1,9.62858064329339,9.62858064329339,
Hatem Kh. MOHAMED_2042,XGB,1,0.8004589080810547,0.8004589080810547,
Hatem Kh. MOHAMED_2042,HistGB,1,1.8212184242361644,1.8212184242361644,
